"Timestamp","VideoDecodePercent"
"2026-07-11T22:25:34.8254446-07:00","40.65"
"2026-07-11T22:25:36.7646643-07:00","42.91"
"2026-07-11T22:25:38.5372414-07:00","41.04"
"2026-07-11T22:25:40.2806181-07:00","41.2"
"2026-07-11T22:25:41.9656545-07:00","34.46"
"2026-07-11T22:25:43.6468175-07:00","37.04"
"2026-07-11T22:25:45.3475910-07:00","38.2"
"2026-07-11T22:25:47.0107738-07:00","40.46"
"2026-07-11T22:25:48.8027430-07:00","36.82"
"2026-07-11T22:25:50.5238169-07:00","40.42"
"2026-07-11T22:25:52.2086881-07:00","34.04"
"2026-07-11T22:25:53.8997530-07:00","36.79"
"2026-07-11T22:25:55.6393356-07:00","37.67"
"2026-07-11T22:25:57.3281918-07:00","37.75"
"2026-07-11T22:25:59.0167152-07:00","38.6"
"2026-07-11T22:26:00.7473869-07:00","38.91"
"2026-07-11T22:26:02.4310804-07:00","41.13"
"2026-07-11T22:26:04.1067761-07:00","41.6"
"2026-07-11T22:26:05.8062872-07:00","42.77"
"2026-07-11T22:26:07.4903053-07:00","41.57"
"2026-07-11T22:26:09.2229903-07:00","40.99"
"2026-07-11T22:26:10.9361123-07:00","41.13"
"2026-07-11T22:26:12.6211374-07:00","35.71"
"2026-07-11T22:26:14.3169406-07:00","38.03"
"2026-07-11T22:26:15.9876597-07:00","38.12"
"2026-07-11T22:26:17.6865913-07:00","34.15"
"2026-07-11T22:26:19.3732288-07:00","41.12"
"2026-07-11T22:26:21.0820596-07:00","35.73"
"2026-07-11T22:26:22.7846380-07:00","35.82"
"2026-07-11T22:26:24.4869640-07:00","37.31"
"2026-07-11T22:26:26.1739418-07:00","35.99"
"2026-07-11T22:26:27.8487535-07:00","35.48"
"2026-07-11T22:26:29.5406408-07:00","40.44"
"2026-07-11T22:26:31.2475166-07:00","38.5"
"2026-07-11T22:26:32.9243303-07:00","37.87"
